item,SCO/NCO,gendermatch?,sentence,,,,,,,,
1,SCO,Match,Jane asked which maintenance man at the boarding school Donna had said that he already spoke with about the foodfight.,,,,,,,,
1,SCO,Mismatch,Jane asked which lunch lady at the boarding school Donna had said that he already spoke with about the foodfight.,,,,,,,,
1,NCO,Match,Jane asked which maintenance man at the boarding school had said that he already spoke with Jim about the foodfight.,,,,,,,,
1,NCO,Mismatch,Jane asked which lunch lady at the boarding school had said that he already spoke with Jim about the foodfight.,,,,,,,,
2,SCO,Match,Mary knew which policeman at the scene Hailey had claimed that he quickly talked to after the boating accident.,,,,,,,,
2,SCO,Mismatch,Mary knew which policewoman at the scene Hailey had claimed that he quickly talked to after the boating accident.,,,,,,,,
2,NCO,Match,Mary knew which policeman at the scene had claimed that he quickly talked to Martin after the boating accident.,,,,,,,,
2,NCO,Mismatch,Mary knew which policewoman at the scene had claimed that he quickly talked to Martin after the boating accident.,,,,,,,,some sentences have periods
3,SCO,Match,Christina remembered which fireman from the PTA Diane had claimed that he gladly worked with during the heatwave,,,,,,,,some do not
3,SCO,Mismatch,Christina remembered which mother from the PTA Diane had claimed that he gladly worked with during the heatwave,,,,,,,,
3,NCO,Match,Christina remembered which fireman from the PTA had claimed that he gladly worked with John during the heatwave,,,,,,,,
3,NCO,Mismatch,Christina remembered which mother from the PTA had claimed that he gladly worked with John during the heatwave,,,,,,,,
4,SCO,Match,Olivia said which doctor in the crowded ward Kaitlyn had thought that he already spoke with about the diagnosis,,,,,,,,
4,SCO,Mismatch,Olivia said which midwife in the crowded ward Kaitlyn had thought that he already spoke with about the diagnosis,,,,,,,,
4,NCO,Match,Olivia said which doctor in the crowded ward had thought that he already spoke with Jeff about the diagnosis,,,,,,,,
4,NCO,Mismatch,Olivia said which midwife in the crowded ward had thought that he already spoke with Jeff about the diagnosis,,,,,,,,
5,SCO,Match,Jessica asked which cowboy from the new hires Theresa had admitted that he actually slept with on the ranch,,,,,,,,
5,SCO,Mismatch,Jessica asked which cowgirl from the new hires Theresa had admitted that he actually slept with on the ranch,,,,,,,,
5,NCO,Match,Jessica asked which cowboy from the new hires had admitted that he actually slept with James on the ranch,,,,,,,,
5,NCO,Mismatch,Jessica asked which cowgirl from the new hires had admitted that he actually slept with James on the ranch,,,,,,,,
6,SCO,Match,Ashley wondered which gangster in the line-up Susanne had said that he definitely had seen in the alleyway,,,,,,,,
6,SCO,Mismatch,Ashley wondered which prostitute in the line-up Susanne had said that he definitely had seen in the alleyway,,,,,,,,
6,NCO,Match,Ashley wondered which gangster in the line-up had said that he definitely had seen Daniel in the alleyway,,,,,,,,
6,NCO,Mismatch,Ashley wondered which prostitute in the line-up had said that he definitely had seen Daniel in the alleyway,,,,,,,,
7,SCO,Match,Emily knew which judge at the trial Eve had said that he quietly argued with outside the courtroom,,,,,,,,
7,SCO,Mismatch,Emily knew which typist at the trial Eve had said that he quietly argued with outside the courtroom,,,,,,,,
7,NCO,Match,Emily knew which judge at the trial had said that he quietly argued with Robert outside the courtroom,,,,,,,,
7,NCO,Mismatch,Emily knew which typist at the trial had said that he quietly argued with Robert outside the courtroom,,,,,,,,
8,SCO,Match,Sarah remembered which monk from the neighboring church Nora had claimed that he quietly talked to at the pancake breakfast,,,,,,,,
8,SCO,Mismatch,Sarah remembered which nun from the neighboring church Nora had claimed that he quietly talked to at the pancake breakfast,,,,,,,,
8,NCO,Match,Sarah remembered which monk from the neighboring church had claimed that he quietly talked to Sean at the pancake breakfast,,,,,,,,
8,NCO,Mismatch,Sarah remembered which nun from the neighboring church had claimed that he quietly talked to Sean at the pancake breakfast,,,,,,,,
9,SCO,Match,Megan said which engineer from the drafting division Christine had claimed that he actually agreed with about the revised blueprints,,,,,,,,
9,SCO,Mismatch,Megan said which secretary from the drafting division Christine had claimed that he actually agreed with about the revised blueprints,,,,,,,,
9,NCO,Match,Megan said which engineer from the drafting division had claimed that he actually agreed with Thomas about the revised blueprints,,,,,,,,
9,NCO,Mismatch,Megan said which secretary from the drafting division had claimed that he actually agreed with Thomas about the revised blueprints,,,,,,,,
10,SCO,Match,Hannah couldn’t decide which boy scout in the cabin Bridget had implied that he frequently fought with during the trip,,,,,,,,
10,SCO,Mismatch,Hannah couldn’t decide which girl scout in the cabin Bridget had implied that he frequently fought with during the trip,,,,,,,,
10,NCO,Match,Hannah couldn’t decide which boy scout in the cabin had implied that he frequently fought with Pedro during the trip,,,,,,,,
10,NCO,Mismatch,Hannah couldn’t decide which girl scout in the cabin had implied that he frequently fought with Pedro during the trip,,,,,,,,
11,SCO,Match,Lauren couldn’t decide which private in the regiment Catherine had admitted that he actually learned from during boot camp,,,,,,,,
11,SCO,Mismatch,Lauren couldn’t decide which nurse in the regiment Catherine had admitted that he actually learned from during boot camp,,,,,,,,
11,NCO,Match,Lauren couldn’t decide which private in the regiment had admitted that he actually learned from Paul during boot camp,,,,,,,,
11,NCO,Mismatch,Lauren couldn’t decide which nurse in the regiment had admitted that he actually learned from Paul during boot camp,,,,,,,,
12,SCO,Match,Michael asked which stripper from the sleazy club Omar had said that she secretly called up after the night’s end,,,,,,,,
12,SCO,Mismatch,Michael asked which bouncer from the sleazy club Omar had said that she secretly called up after the night’s end,,,,,,,,
12,NCO,Match,Michael asked which stripper from the sleazy club had said that she secretly called up Martina after the night’s end,,,,,,,,
12,NCO,Mismatch,Michael asked which bouncer} from the sleazy club had said that she secretly called up Martina after the night’s end,,,,,,,,
13,SCO,Match,Christopher wondered which aunt at the family reunion Felix had said that she frequently called on after the pregnancy,,,,,,,,
13,SCO,Mismatch,Christopher wondered which uncle at the family reunion Felix had said that she frequently called on after the pregnancy,,,,,,,,
13,NCO,Match,Christopher wondered which aunt at the family reunion Felix had said that she frequently called on Roberta after the pregnancy,,,,,,,,
13,NCO,Mismatch,Christopher wondered which uncle at the family reunion Felix had said that she frequently called on Roberta after the pregnancy,,,,,,,,
14,SCO,Match,Matthew knew which supermodel at fashion week Jorge had claimed that she accidentally ran into behind the runway,,,,,,,,
14,SCO,Mismatch,Matthew knew which designer at fashion week Jorge had claimed that she accidentally ran into behind the runway,,,,,,,,
14,NCO,Match,Matthew knew which supermodel at fashion week had claimed that she accidentally ran into Kristen behind the runway,,,,,,,,
14,NCO,Mismatch,Matthew knew which designer at fashion week had claimed that she accidentally ran into Kristen behind the runway,,,,,,,,
15,SCO,Match,Joshua remembered which princess from the distant kingdom Brian had claimed that she successfully cast out from the court. ,,,,,,,,
15,SCO,Mismatch,Joshua remembered which prince from the distant kingdom Brian had claimed that she successfully cast out from the court. ,,,,,,,,
15,NCO,Match,Joshua remembered which princess from the distant kingdom had claimed that she successfully cast out Alice from the court.,,,,,,,,
15,NCO,Mismatch,Joshua remembered which prince from the distant kingdom had claimed that she successfully cast out Alice from the court.,,,,,,,,
16,SCO,Match,Jacob said which soprano in the exclusive choir Brad had thought that she possibly sang with many years ago. ,,,,,,,,
16,SCO,Mismatch,Jacob said which baritone in the exclusive choir Brad had thought that she possibly sang with many years ago. ,,,,,,,,
16,NCO,Match,Jacob said which soprano in the exclusive choir had thought that she possibly sang with Allison many years ago.,,,,,,,,
16,NCO,Mismatch,Jacob said which baritone in the exclusive choir had thought that she possibly sang with Allison many years ago.,,,,,,,,
17,SCO,Match,Nick asked which sorority girl at the Greek mixer Joseph had thought that she unintentionally bumped into during pledge week.,,,,,,,,
17,SCO,Mismatch,Nick asked which frat boy at the Greek mixer Joseph had thought that she unintentionally bumped into during pledge week.,,,,,,,,
17,NCO,Match,Nick asked which sorority girl at the Greek mixer had thought that she unintentionally bumped into Mandy during pledge week.,,,,,,,,
17,NCO,Mismatch,Nick asked which frat boy at the Greek mixer had thought that she unintentionally bumped into Mandy during pledge week.,,,,,,,,
18,SCO,Match,Andrew wondered which hygienist in the big office Peter had said that she often spoke to about proper brushing. ,,,,,,,,
18,SCO,Mismatch,Andrew wondered which dentist in the big office Peter had said that she often spoke to about proper brushing. ,,,,,,,,
18,NCO,Match,Andrew wondered which hygienist in the big office had said that she often spoke to Felicia about proper brushing. ,,,,,,,,
18,NCO,Mismatch,Andrew wondered which dentist in the big office had said that she often spoke to Felicia about proper brushing. ,,,,,,,,
19,SCO,Match,Daniel knew which waitress from the greasy diner George had said that she already worked with on Tuesday night,,,,,,,,
19,SCO,Mismatch,Daniel knew which waiter from the greasy diner George had said that she already worked with on Tuesday night,,,,,,,,
19,NCO,Match,Daniel knew which waitress from the greasy diner had said that she already worked with Donna on Tuesday night,,,,,,,,
19,NCO,Mismatch,Daniel knew which waiter from the greasy diner had said that she already worked with Donna on Tuesday night,,,,,,,,
20,SCO,Match,Tyler remembered which nurse from the emergency room James had claimed that she immediately talked to after the seizure,,,,,,,,
20,SCO,Mismatch,Tyler remembered which doctor from the emergency room James had claimed that she immediately talked to after the seizure,,,,,,,,
20,NCO,Match,Tyler remembered which nurse from the emergency room had claimed that she immediately talked to Eileen after the seizure,,,,,,,,
20,NCO,Mismatch,Tyler remembered which doctor from the emergency room had claimed that she immediately talked to Eileen after the seizure,,,,,,,,
21,SCO,Match,Joseph said which secretary at the ad agency Howard had claimed that she obviously had assisted with the typing,,,,,,,,
21,SCO,Mismatch,Joseph said which executive at the ad agency Howard had claimed that she obviously had assisted with the typing,,,,,,,,
21,NCO,Match,Joseph said which secretary at the ad agency had claimed that she obviously had assisted Hailey with the typing,,,,,,,,
21,NCO,Mismatch,Joseph said which executive at the ad agency had claimed that she obviously had assisted Hailey with the typing,,,,,,,,
22,SCO,Match,Brandon couldn’t decide which nun Paul had believed that she actually visited with during the holidays,,,,,,,,
22,SCO,Mismatch,Brandon couldn’t decide which priest Paul had believed that she actually visited with during the holidays,,,,,,,,
22,NCO,Match,Brandon couldn’t decide which nun had believed that she actually visited with Ellen during the holidays,,,,,,,,
22,NCO,Mismatch,Brandon couldn’t decide which priest had believed that she actually visited with Ellen during the holidays,,,,,,,,
23,SCO,Match,David couldn’t decide which girl scout Jeff had believed that she clearly had outsold during the fundraiser,,,,,,,,
23,SCO,Mismatch,David couldn’t decide which boy scout Jeff had believed that she clearly had outsold during the fundraiser,,,,,,,,
23,NCO,Match,David couldn’t decide which girl scout had believed that she clearly had outsold Maxine during the fundraiser,,,,,,,,
23,NCO,Mismatch,David couldn’t decide which boy scout had believed that she clearly had outsold Maxine during the fundraiser,,,,,,,,
24,SCO,Match,Lily wondered which tailor from the studio Alice had said that he recently called on to get black thread,,,,,,,,
24,SCO,Mismatch,Lily wondered which seamstress from the studio Alice had said that he recently called on to get black thread,,,,,,,,
24,NCO,Match,Lily wondered which tailor from the studio had said that he recently called on Edward to get black thread,,,,,,,,
24,NCO,Mismatch,Lily wondered which seamstress from the studio had said that he recently called on Edward to get black thread,,,,,,,,